GISJOIN,COUNTY,COUNTYA,TRACTA,BLKGRPA,NAME_E,AHZAE001,AHZAE002,AHZAE003,AHZAE004,AHZAE005,AHZAE006,AHZAE007,AHZAE008,AHZAE009,AHZAE010,AHZAE011,AHZAE012,AHZAE013,AHZAE014,AHZAE015,AHZAE016,AHZAE017,AHZAE018,AHZAE019,AHZAE020,AHZAE021,AH1PE001
GIS Join Match Code,County Name,County Code,Census Tract Code,Block Group Code,Estimates: Area Name,Estimates: Total,Estimates: Not Hispanic or Latino,Estimates: Not Hispanic or Latino: White alone,Estimates: Not Hispanic or Latino: Black or African American alone,Estimates: Not Hispanic or Latino: American Indian and Alaska Native alone,Estimates: Not Hispanic or Latino: Asian alone,Estimates: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Estimates: Not Hispanic or Latino: Some other race alone,Estimates: Not Hispanic or Latino: Two or more races,Estimates: Not Hispanic or Latino: Two or more races: Two races including Some other race,"Estimates: Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races",Estimates: Hispanic or Latino,Estimates: Hispanic or Latino: White alone,Estimates: Hispanic or Latino: Black or African American alone,Estimates: Hispanic or Latino: American Indian and Alaska Native alone,Estimates: Hispanic or Latino: Asian alone,Estimates: Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Estimates: Hispanic or Latino: Some other race alone,Estimates: Hispanic or Latino: Two or more races,Estimates: Hispanic or Latino: Two or more races: Two races including Some other race,"Estimates: Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races",Estimates: Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
G06000104001001,Alameda County,1,400100,1,"Block Group 1, Census Tract 4001, Alameda County, California",2991,2878,2070,84,0,484,0,77,163,17,146,113,62,0,0,7,0,44,0,0,0,208393
G06000104002001,Alameda County,1,400200,1,"Block Group 1, Census Tract 4002, Alameda County, California",1102,990,777,8,5,52,0,5,143,0,143,112,75,0,0,0,0,3,34,0,34,169167
G06000104002002,Alameda County,1,400200,2,"Block Group 2, Census Tract 4002, Alameda County, California",895,830,647,10,0,144,0,0,29,0,29,65,33,0,0,7,0,6,19,0,19,119722
G06000104003001,Alameda County,1,400300,1,"Block Group 1, Census Tract 4003, Alameda County, California",1336,1264,902,65,0,131,0,0,166,0,166,72,35,0,0,0,0,37,0,0,0,142569
G06000104003002,Alameda County,1,400300,2,"Block Group 2, Census Tract 4003, Alameda County, California",1369,1280,942,70,0,169,0,0,99,0,99,89,67,0,0,0,0,3,19,19,0,85673
G06000104003003,Alameda County,1,400300,3,"Block Group 3, Census Tract 4003, Alameda County, California",1041,974,615,322,0,19,0,0,18,0,18,67,22,0,0,0,0,29,16,0,16,
G06000104003004,Alameda County,1,400300,4,"Block Group 4, Census Tract 4003, Alameda County, California",1377,1220,972,25,0,181,42,0,0,0,0,157,157,0,0,0,0,0,0,0,0,93833
G06000104004001,Alameda County,1,400400,1,"Block Group 1, Census Tract 4004, Alameda County, California",1510,1319,1144,12,0,151,0,0,12,0,12,191,64,0,0,0,0,123,4,0,4,103654
G06000104004002,Alameda County,1,400400,2,"Block Group 2, Census Tract 4004, Alameda County, California",1071,972,661,108,11,173,0,0,19,0,19,99,32,1,14,0,0,17,35,8,27,86389
G06000104004003,Alameda County,1,400400,3,"Block Group 3, Census Tract 4004, Alameda County, California",1410,1323,820,118,0,160,0,0,225,0,225,87,42,0,0,0,0,16,29,13,16,112500
G06000104005001,Alameda County,1,400500,1,"Block Group 1, Census Tract 4005, Alameda County, California",2570,2311,1389,555,0,183,31,8,145,0,145,259,127,0,0,0,0,30,102,38,64,100568
G06000104005002,Alameda County,1,400500,2,"Block Group 2, Census Tract 4005, Alameda County, California",753,721,431,236,0,0,0,8,46,0,46,32,22,0,0,0,0,10,0,0,0,74702
G06000104005003,Alameda County,1,400500,3,"Block Group 3, Census Tract 4005, Alameda County, California",621,505,285,160,0,37,0,0,23,17,6,116,80,0,0,0,0,20,16,16,0,80804
G06000104006001,Alameda County,1,400600,1,"Block Group 1, Census Tract 4006, Alameda County, California",980,900,398,242,4,116,0,14,126,0,126,80,42,15,0,15,0,0,8,0,8,77857
G06000104006002,Alameda County,1,400600,2,"Block Group 2, Census Tract 4006, Alameda County, California",655,595,331,160,0,42,0,0,62,8,54,60,30,0,0,8,0,5,17,17,0,106094
G06000104007001,Alameda County,1,400700,1,"Block Group 1, Census Tract 4007, Alameda County, California",1050,893,337,386,0,105,0,0,65,0,65,157,95,9,18,0,0,19,16,8,8,64306
G06000104007002,Alameda County,1,400700,2,"Block Group 2, Census Tract 4007, Alameda County, California",1699,1624,719,839,4,0,0,0,62,0,62,75,59,0,0,0,0,0,16,16,0,48403
G06000104007003,Alameda County,1,400700,3,"Block Group 3, Census Tract 4007, Alameda County, California",1057,556,268,171,0,65,0,0,52,0,52,501,33,0,0,0,0,412,56,56,0,73056
G06000104007004,Alameda County,1,400700,4,"Block Group 4, Census Tract 4007, Alameda County, California",1031,907,492,283,57,30,0,0,45,0,45,124,77,0,0,0,0,15,32,0,32,40875
G06000104008001,Alameda County,1,400800,1,"Block Group 1, Census Tract 4008, Alameda County, California",1611,1487,526,609,9,253,0,0,90,48,42,124,15,15,0,0,0,41,53,30,23,65481
G06000104008002,Alameda County,1,400800,2,"Block Group 2, Census Tract 4008, Alameda County, California",1029,782,361,311,0,62,0,0,48,0,48,247,132,0,0,0,0,115,0,0,0,66806
G06000104008003,Alameda County,1,400800,3,"Block Group 3, Census Tract 4008, Alameda County, California",1156,1106,570,297,0,186,0,0,53,0,53,50,19,0,0,0,0,0,31,20,11,59539
G06000104009001,Alameda County,1,400900,1,"Block Group 1, Census Tract 4009, Alameda County, California",1319,1132,425,543,9,57,0,37,61,6,55,187,97,10,0,0,0,80,0,0,0,51111
G06000104009002,Alameda County,1,400900,2,"Block Group 2, Census Tract 4009, Alameda County, California",1075,973,594,232,0,90,0,25,32,0,32,102,42,0,0,0,0,49,11,0,11,85833
G06000104010001,Alameda County,1,401000,1,"Block Group 1, Census Tract 4010, Alameda County, California",1514,1276,151,949,0,11,0,22,143,75,68,238,225,0,0,0,0,13,0,0,0,
G06000104010002,Alameda County,1,401000,2,"Block Group 2, Census Tract 4010, Alameda County, California",1067,795,290,297,0,23,85,0,100,0,100,272,28,30,0,0,0,124,90,51,39,62218
G06000104010003,Alameda County,1,401000,3,"Block Group 3, Census Tract 4010, Alameda County, California",1528,1202,602,470,0,46,0,20,64,0,64,326,41,0,0,0,0,83,202,29,173,77625
G06000104010004,Alameda County,1,401000,4,"Block Group 4, Census Tract 4010, Alameda County, California",610,445,171,133,8,40,0,0,93,0,93,165,31,0,0,0,0,122,12,12,0,82054
G06000104010005,Alameda County,1,401000,5,"Block Group 5, Census Tract 4010, Alameda County, California",698,555,221,305,0,22,0,0,7,6,1,143,28,0,0,0,0,108,7,0,7,
G06000104010006,Alameda County,1,401000,6,"Block Group 6, Census Tract 4010, Alameda County, California",830,737,394,132,0,44,0,0,167,0,167,93,0,78,0,0,0,7,8,8,0,
G06000104011001,Alameda County,1,401100,1,"Block Group 1, Census Tract 4011, Alameda County, California",515,515,254,105,0,81,0,0,75,0,75,0,0,0,0,0,0,0,0,0,0,111652
G06000104011002,Alameda County,1,401100,2,"Block Group 2, Census Tract 4011, Alameda County, California",1301,1047,791,14,0,143,0,0,99,0,99,254,62,42,0,0,0,136,14,14,0,68482
G06000104011003,Alameda County,1,401100,3,"Block Group 3, Census Tract 4011, Alameda County, California",1136,1104,467,227,0,374,0,14,22,0,22,32,18,0,0,0,0,0,14,0,14,75167
G06000104011004,Alameda County,1,401100,4,"Block Group 4, Census Tract 4011, Alameda County, California",1253,1103,611,298,0,90,0,0,104,0,104,150,148,0,0,0,0,2,0,0,0,89688
G06000104012001,Alameda County,1,401200,1,"Block Group 1, Census Tract 4012, Alameda County, California",1140,817,599,130,0,52,0,0,36,0,36,323,129,0,9,0,0,92,93,80,13,91250
G06000104012002,Alameda County,1,401200,2,"Block Group 2, Census Tract 4012, Alameda County, California",882,774,431,171,0,115,0,0,57,0,57,108,45,13,6,0,0,34,10,10,0,123875
G06000104012003,Alameda County,1,401200,3,"Block Group 3, Census Tract 4012, Alameda County, California",579,524,302,129,9,60,0,0,24,0,24,55,9,0,0,0,0,39,7,7,0,58750
G06000104013001,Alameda County,1,401300,1,"Block Group 1, Census Tract 4013, Alameda County, California",1233,1101,402,536,0,133,0,0,30,0,30,132,34,28,8,0,0,21,41,24,17,50313
G06000104013002,Alameda County,1,401300,2,"Block Group 2, Census Tract 4013, Alameda County, California",1734,1443,472,557,27,313,0,0,74,0,74,291,46,0,0,0,0,156,89,64,25,29375
G06000104013003,Alameda County,1,401300,3,"Block Group 3, Census Tract 4013, Alameda County, California",1087,964,526,226,0,174,0,0,38,0,38,123,105,0,0,0,0,18,0,0,0,70833
G06000104014001,Alameda County,1,401400,1,"Block Group 1, Census Tract 4014, Alameda County, California",1137,786,181,486,17,23,0,0,79,8,71,351,148,0,0,0,0,203,0,0,0,23266
G06000104014002,Alameda County,1,401400,2,"Block Group 2, Census Tract 4014, Alameda County, California",1647,1334,491,484,0,137,40,25,157,0,157,313,159,0,14,11,0,94,35,10,25,32917
G06000104014003,Alameda County,1,401400,3,"Block Group 3, Census Tract 4014, Alameda County, California",1229,953,217,539,41,75,0,0,81,0,81,276,131,0,0,0,0,145,0,0,0,31392
G06000104015001,Alameda County,1,401500,1,"Block Group 1, Census Tract 4015, Alameda County, California",1163,1085,355,557,4,72,23,0,74,0,74,78,51,6,0,0,0,21,0,0,0,
G06000104015002,Alameda County,1,401500,2,"Block Group 2, Census Tract 4015, Alameda County, California",814,712,488,85,0,88,0,0,51,0,51,102,31,0,0,0,0,51,20,0,20,76875
G06000104015003,Alameda County,1,401500,3,"Block Group 3, Census Tract 4015, Alameda County, California",661,479,136,305,0,21,0,0,17,6,11,182,55,0,7,0,0,98,22,0,22,58036
G06000104016001,Alameda County,1,401600,1,"Block Group 1, Census Tract 4016, Alameda County, California",1004,845,297,417,0,73,0,15,43,0,43,159,76,0,0,6,0,77,0,0,0,43654
G06000104016002,Alameda County,1,401600,2,"Block Group 2, Census Tract 4016, Alameda County, California",1094,983,234,529,0,106,48,0,66,0,66,111,33,0,0,0,0,47,31,6,25,46250
G06000104017001,Alameda County,1,401700,1,"Block Group 1, Census Tract 4017, Alameda County, California",776,680,349,208,0,58,0,0,65,0,65,96,63,0,0,0,1,11,21,6,15,102135
G06000104017002,Alameda County,1,401700,2,"Block Group 2, Census Tract 4017, Alameda County, California",1910,1255,544,498,0,193,0,0,20,0,20,655,241,0,0,7,0,407,0,0,0,80125
G06000104017003,Alameda County,1,401700,3,"Block Group 3, Census Tract 4017, Alameda County, California",83,32,17,15,0,0,0,0,0,0,0,51,0,0,0,0,0,35,16,16,0,
G06000104018001,Alameda County,1,401800,1,"Block Group 1, Census Tract 4018, Alameda County, California",1090,937,317,444,0,35,0,0,141,0,141,153,40,0,0,0,0,89,24,0,24,73088
G06000104018002,Alameda County,1,401800,2,"Block Group 2, Census Tract 4018, Alameda County, California",838,628,198,371,3,36,0,20,0,0,0,210,62,0,0,0,0,106,42,0,42,19940
G06000104022001,Alameda County,1,402200,1,"Block Group 1, Census Tract 4022, Alameda County, California",1083,837,297,358,19,143,0,0,20,0,20,246,63,0,5,0,0,141,37,11,26,45306
G06000104022002,Alameda County,1,402200,2,"Block Group 2, Census Tract 4022, Alameda County, California",1007,785,188,396,0,170,0,0,31,0,31,222,191,0,0,0,0,21,10,0,10,35673
G06000104022003,Alameda County,1,402200,3,"Block Group 3, Census Tract 4022, Alameda County, California",467,307,199,46,0,41,0,0,21,9,12,160,97,0,0,0,0,41,22,22,0,70000
G06000104024001,Alameda County,1,402400,1,"Block Group 1, Census Tract 4024, Alameda County, California",1635,1405,504,747,0,104,0,0,50,0,50,230,87,48,0,0,0,59,36,32,4,49417
G06000104024002,Alameda County,1,402400,2,"Block Group 2, Census Tract 4024, Alameda County, California",1185,1079,91,694,15,211,10,0,58,0,58,106,66,2,1,0,0,19,18,1,17,24583
G06000104025001,Alameda County,1,402500,1,"Block Group 1, Census Tract 4025, Alameda County, California",927,785,79,561,0,92,0,0,53,0,53,142,39,7,0,0,0,60,36,21,15,34135
G06000104025002,Alameda County,1,402500,2,"Block Group 2, Census Tract 4025, Alameda County, California",843,757,63,574,0,87,0,0,33,2,31,86,0,37,0,0,0,24,25,25,0,14766
G06000104026001,Alameda County,1,402600,1,"Block Group 1, Census Tract 4026, Alameda County, California",1241,1089,162,320,0,574,0,4,29,0,29,152,43,0,0,0,0,71,38,5,33,21250
G06000104027001,Alameda County,1,402700,1,"Block Group 1, Census Tract 4027, Alameda County, California",741,650,219,259,13,142,0,0,17,0,17,91,37,7,0,0,0,22,25,25,0,55250
G06000104027002,Alameda County,1,402700,2,"Block Group 2, Census Tract 4027, Alameda County, California",1085,847,254,479,0,65,0,6,43,0,43,238,83,5,5,0,0,125,20,0,20,76000
G06000104028001,Alameda County,1,402800,1,"Block Group 1, Census Tract 4028, Alameda County, California",1649,1425,532,687,12,173,0,0,21,0,21,224,119,0,0,0,0,64,41,0,41,14663
G06000104028002,Alameda County,1,402800,2,"Block Group 2, Census Tract 4028, Alameda County, California",2606,2467,676,1064,0,565,0,0,162,0,162,139,13,0,14,0,0,42,70,29,41,49194
G06000104029001,Alameda County,1,402900,1,"Block Group 1, Census Tract 4029, Alameda County, California",1417,1200,332,218,30,532,0,13,75,0,75,217,33,0,0,6,0,163,15,5,10,26786
G06000104030001,Alameda County,1,403000,1,"Block Group 1, Census Tract 4030, Alameda County, California",1577,1544,135,0,35,1281,56,8,29,0,29,33,3,0,0,0,0,30,0,0,0,26971
G06000104030002,Alameda County,1,403000,2,"Block Group 2, Census Tract 4030, Alameda County, California",1674,1648,40,159,0,1420,16,13,0,0,0,26,26,0,0,0,0,0,0,0,0,18143
G06000104031001,Alameda County,1,403100,1,"Block Group 1, Census Tract 4031, Alameda County, California",1830,1596,420,335,18,767,4,3,49,0,49,234,80,0,7,12,0,102,33,13,20,72813
G06000104033001,Alameda County,1,403300,1,"Block Group 1, Census Tract 4033, Alameda County, California",2250,2121,785,188,0,889,0,0,259,0,259,129,99,0,30,0,0,0,0,0,0,89301
G06000104033002,Alameda County,1,403300,2,"Block Group 2, Census Tract 4033, Alameda County, California",2493,2109,239,123,25,1722,0,0,0,0,0,384,53,0,0,0,0,331,0,0,0,20899
G06000104034001,Alameda County,1,403400,1,"Block Group 1, Census Tract 4034, Alameda County, California",1044,991,745,99,10,97,0,0,40,0,40,53,39,0,0,0,0,0,14,14,0,102143
G06000104034002,Alameda County,1,403400,2,"Block Group 2, Census Tract 4034, Alameda County, California",1117,1003,278,208,0,464,0,0,53,0,53,114,63,13,0,0,0,23,15,0,15,48110
G06000104034003,Alameda County,1,403400,3,"Block Group 3, Census Tract 4034, Alameda County, California",900,797,357,111,20,247,12,0,50,10,40,103,52,0,0,0,0,15,36,36,0,47000
G06000104034004,Alameda County,1,403400,4,"Block Group 4, Census Tract 4034, Alameda County, California",1340,1281,435,433,6,369,0,38,0,0,0,59,0,0,0,0,0,59,0,0,0,54464
G06000104035011,Alameda County,1,403501,1,"Block Group 1, Census Tract 4035.01, Alameda County, California",2043,1822,432,435,27,885,0,0,43,0,43,221,89,0,30,0,0,50,52,39,13,23381
G06000104035012,Alameda County,1,403501,2,"Block Group 2, Census Tract 4035.01, Alameda County, California",2093,1756,1106,404,0,47,19,0,180,0,180,337,93,39,0,0,0,52,153,29,124,56933
G06000104035013,Alameda County,1,403501,3,"Block Group 3, Census Tract 4035.01, Alameda County, California",562,541,235,207,0,64,0,0,35,0,35,21,21,0,0,0,0,0,0,0,0,41944
G06000104035021,Alameda County,1,403502,1,"Block Group 1, Census Tract 4035.02, Alameda County, California",763,631,412,52,0,145,0,0,22,12,10,132,52,0,0,37,0,22,21,21,0,62902
G06000104035022,Alameda County,1,403502,2,"Block Group 2, Census Tract 4035.02, Alameda County, California",1303,1199,524,466,0,136,0,0,73,0,73,104,48,16,0,0,0,38,2,2,0,64583
G06000104036001,Alameda County,1,403600,1,"Block Group 1, Census Tract 4036, Alameda County, California",1394,1292,296,736,0,94,0,0,166,0,166,102,34,30,0,0,0,19,19,19,0,58902
G06000104036002,Alameda County,1,403600,2,"Block Group 2, Census Tract 4036, Alameda County, California",1863,1571,869,507,0,83,0,26,86,0,86,292,26,0,0,0,0,145,121,0,121,84235
G06000104036003,Alameda County,1,403600,3,"Block Group 3, Census Tract 4036, Alameda County, California",1768,1504,706,371,36,295,0,0,96,20,76,264,89,79,0,12,0,59,25,0,25,78859
G06000104037011,Alameda County,1,403701,1,"Block Group 1, Census Tract 4037.01, Alameda County, California",1531,1451,614,608,0,164,0,0,65,0,65,80,29,0,0,0,0,26,25,25,0,68306
G06000104037012,Alameda County,1,403701,2,"Block Group 2, Census Tract 4037.01, Alameda County, California",1294,1095,650,290,0,68,0,19,68,0,68,199,89,0,0,0,0,110,0,0,0,73074
G06000104037021,Alameda County,1,403702,1,"Block Group 1, Census Tract 4037.02, Alameda County, California",640,488,338,36,0,61,8,0,45,0,45,152,8,0,0,0,0,136,8,8,0,90875
G06000104037022,Alameda County,1,403702,2,"Block Group 2, Census Tract 4037.02, Alameda County, California",1261,1147,668,165,0,224,18,12,60,0,60,114,73,0,0,0,0,19,22,0,22,81736
G06000104038001,Alameda County,1,403800,1,"Block Group 1, Census Tract 4038, Alameda County, California",534,498,261,0,0,164,0,7,66,0,66,36,10,0,0,0,0,0,26,0,26,168906
G06000104038002,Alameda County,1,403800,2,"Block Group 2, Census Tract 4038, Alameda County, California",834,772,613,23,0,108,0,0,28,0,28,62,54,0,0,0,0,0,8,8,0,84028
G06000104038003,Alameda County,1,403800,3,"Block Group 3, Census Tract 4038, Alameda County, California",800,684,399,121,0,120,0,0,44,0,44,116,112,0,0,0,0,4,0,0,0,71078
G06000104038004,Alameda County,1,403800,4,"Block Group 4, Census Tract 4038, Alameda County, California",1131,1089,912,54,0,80,0,7,36,0,36,42,16,0,0,0,0,26,0,0,0,84893
G06000104039001,Alameda County,1,403900,1,"Block Group 1, Census Tract 4039, Alameda County, California",1657,1525,836,106,21,435,0,36,91,0,91,132,13,15,0,0,0,16,88,88,0,92528
G06000104039002,Alameda County,1,403900,2,"Block Group 2, Census Tract 4039, Alameda County, California",705,676,504,48,0,54,0,0,70,0,70,29,29,0,0,0,0,0,0,0,0,85660
G06000104039003,Alameda County,1,403900,3,"Block Group 3, Census Tract 4039, Alameda County, California",1627,1553,851,435,0,197,0,0,70,0,70,74,17,0,0,0,0,57,0,0,0,73750
G06000104040001,Alameda County,1,404000,1,"Block Group 1, Census Tract 4040, Alameda County, California",1905,1547,981,148,0,245,30,20,123,0,123,358,102,0,0,0,0,182,74,15,59,78917
G06000104040002,Alameda County,1,404000,2,"Block Group 2, Census Tract 4040, Alameda County, California",1128,983,770,36,11,86,17,0,63,0,63,145,55,15,0,0,0,59,16,8,8,80903
G06000104041011,Alameda County,1,404101,1,"Block Group 1, Census Tract 4041.01, Alameda County, California",1161,1078,850,23,0,119,0,27,59,0,59,83,68,0,0,0,0,8,7,7,0,101375
G06000104041012,Alameda County,1,404101,2,"Block Group 2, Census Tract 4041.01, Alameda County, California",1872,1774,1127,142,5,281,0,27,192,0,192,98,80,0,0,0,0,0,18,9,9,91759
G06000104041021,Alameda County,1,404102,1,"Block Group 1, Census Tract 4041.02, Alameda County, California",1339,1275,1032,0,0,190,22,13,18,0,18,64,21,0,0,0,0,18,25,0,25,91726
G06000104041022,Alameda County,1,404102,2,"Block Group 2, Census Tract 4041.02, Alameda County, California",1083,916,722,81,3,106,0,0,4,0,4,167,59,7,0,10,0,75,16,7,9,73633
G06000104042001,Alameda County,1,404200,1,"Block Group 1, Census Tract 4042, Alameda County, California",1050,1030,749,40,7,65,21,16,132,0,132,20,12,0,0,0,0,8,0,0,0,192563
G06000104042002,Alameda County,1,404200,2,"Block Group 2, Census Tract 4042, Alameda County, California",1344,1292,1096,76,0,107,0,8,5,0,5,52,52,0,0,0,0,0,0,0,0,194271
G06000104042003,Alameda County,1,404200,3,"Block Group 3, Census Tract 4042, Alameda County, California",1206,1084,675,133,0,226,7,0,43,7,36,122,94,0,0,0,0,14,14,7,7,91417
G06000104043001,Alameda County,1,404300,1,"Block Group 1, Census Tract 4043, Alameda County, California",1061,973,662,76,0,154,0,0,81,34,47,88,51,0,0,0,0,0,37,37,0,220257
G06000104043002,Alameda County,1,404300,2,"Block Group 2, Census Tract 4043, Alameda County, California",959,774,592,66,0,45,0,16,55,0,55,185,24,0,0,0,0,81,80,0,80,178750
G06000104043003,Alameda County,1,404300,3,"Block Group 3, Census Tract 4043, Alameda County, California",1304,1110,831,0,0,169,0,0,110,0,110,194,31,23,0,0,0,112,28,20,8,165313
G06000104044001,Alameda County,1,404400,1,"Block Group 1, Census Tract 4044, Alameda County, California",2013,1902,1326,39,0,477,0,0,60,0,60,111,111,0,0,0,0,0,0,0,0,127339
G06000104044002,Alameda County,1,404400,2,"Block Group 2, Census Tract 4044, Alameda County, California",1775,1670,1139,82,0,280,0,0,169,0,169,105,51,0,0,0,0,0,54,0,54,163750
G06000104044003,Alameda County,1,404400,3,"Block Group 3, Census Tract 4044, Alameda County, California",1637,1511,1205,15,0,189,0,0,102,0,102,126,111,0,0,0,0,0,15,15,0,195862
G06000104045011,Alameda County,1,404501,1,"Block Group 1, Census Tract 4045.01, Alameda County, California",1857,1730,1238,79,0,256,6,0,151,19,132,127,91,0,0,0,0,36,0,0,0,185313
G06000104045021,Alameda County,1,404502,1,"Block Group 1, Census Tract 4045.02, Alameda County, California",566,501,497,0,0,4,0,0,0,0,0,65,63,0,2,0,0,0,0,0,0,128750
G06000104045022,Alameda County,1,404502,2,"Block Group 2, Census Tract 4045.02, Alameda County, California",1502,1429,876,55,0,373,0,0,125,0,125,73,73,0,0,0,0,0,0,0,0,155833
G06000104045023,Alameda County,1,404502,3,"Block Group 3, Census Tract 4045.02, Alameda County, California",1674,1426,906,246,0,84,0,0,190,0,190,248,130,71,0,0,0,17,30,12,18,161087
G06000104045024,Alameda County,1,404502,4,"Block Group 4, Census Tract 4045.02, Alameda County, California",1814,1793,1378,64,0,234,0,0,117,0,117,21,21,0,0,0,0,0,0,0,0,153817
G06000104046001,Alameda County,1,404600,1,"Block Group 1, Census Tract 4046, Alameda County, California",1053,1005,669,49,11,231,0,0,45,0,45,48,37,0,11,0,0,0,0,0,0,186250
G06000104046002,Alameda County,1,404600,2,"Block Group 2, Census Tract 4046, Alameda County, California",718,684,508,61,0,67,25,0,23,0,23,34,34,0,0,0,0,0,0,0,0,165966
G06000104046003,Alameda County,1,404600,3,"Block Group 3, Census Tract 4046, Alameda County, California",1203,1178,872,47,4,75,116,0,64,0,64,25,25,0,0,0,0,0,0,0,0,141630
G06000104046004,Alameda County,1,404600,4,"Block Group 4, Census Tract 4046, Alameda County, California",1570,1555,1181,86,0,224,0,11,53,18,35,15,8,0,0,0,0,0,7,7,0,157656
G06000104047001,Alameda County,1,404700,1,"Block Group 1, Census Tract 4047, Alameda County, California",985,917,667,47,0,198,0,5,0,0,0,68,6,0,0,34,0,17,11,11,0,165357
G06000104047002,Alameda County,1,404700,2,"Block Group 2, Census Tract 4047, Alameda County, California",1099,1033,823,71,0,87,9,13,30,0,30,66,60,0,6,0,0,0,0,0,0,158988
G06000104048001,Alameda County,1,404800,1,"Block Group 1, Census Tract 4048, Alameda County, California",1419,1233,532,177,17,304,0,6,197,0,197,186,84,0,51,0,0,6,45,0,45,74688
G06000104048002,Alameda County,1,404800,2,"Block Group 2, Census Tract 4048, Alameda County, California",1304,1125,659,282,0,69,14,24,77,0,77,179,92,0,0,0,0,21,66,66,0,65938
G06000104049001,Alameda County,1,404900,1,"Block Group 1, Census Tract 4049, Alameda County, California",698,634,515,26,0,60,7,0,26,0,26,64,18,0,0,0,0,0,46,0,46,121111
G06000104049002,Alameda County,1,404900,2,"Block Group 2, Census Tract 4049, Alameda County, California",1124,1035,534,252,11,100,0,20,118,0,118,89,34,0,0,37,0,18,0,0,0,41333
G06000104049003,Alameda County,1,404900,3,"Block Group 3, Census Tract 4049, Alameda County, California",805,708,388,69,17,138,61,0,35,0,35,97,44,0,0,0,0,7,46,16,30,81406
G06000104049004,Alameda County,1,404900,4,"Block Group 4, Census Tract 4049, Alameda County, California",1310,1207,928,22,23,143,0,0,91,0,91,103,24,0,0,0,0,20,59,59,0,127454
G06000104050001,Alameda County,1,405000,1,"Block Group 1, Census Tract 4050, Alameda County, California",671,623,528,13,0,38,0,11,33,0,33,48,36,0,0,0,0,12,0,0,0,129948
G06000104050002,Alameda County,1,405000,2,"Block Group 2, Census Tract 4050, Alameda County, California",1212,1039,658,126,0,149,0,0,106,0,106,173,37,41,8,0,0,87,0,0,0,150521
G06000104050003,Alameda County,1,405000,3,"Block Group 3, Census Tract 4050, Alameda County, California",1445,1380,898,183,6,221,0,0,72,0,72,65,32,24,0,0,0,0,9,9,0,112344
G06000104051001,Alameda County,1,405100,1,"Block Group 1, Census Tract 4051, Alameda County, California",874,837,745,20,0,49,0,0,23,0,23,37,28,0,0,0,0,0,9,0,9,195848
G06000104051002,Alameda County,1,405100,2,"Block Group 2, Census Tract 4051, Alameda County, California",635,623,425,141,0,13,0,0,44,0,44,12,0,0,0,0,0,12,0,0,0,172292
G06000104051003,Alameda County,1,405100,3,"Block Group 3, Census Tract 4051, Alameda County, California",1210,1146,664,274,0,107,0,0,101,24,77,64,37,17,0,0,0,0,10,0,10,250001
G06000104051004,Alameda County,1,405100,4,"Block Group 4, Census Tract 4051, Alameda County, California",580,580,290,76,0,150,0,10,54,0,54,0,0,0,0,0,0,0,0,0,0,169250
G06000104051005,Alameda County,1,405100,5,"Block Group 5, Census Tract 4051, Alameda County, California",1035,1015,588,211,0,115,0,11,90,0,90,20,0,0,0,0,0,20,0,0,0,169844
G06000104052001,Alameda County,1,405200,1,"Block Group 1, Census Tract 4052, Alameda County, California",1365,1106,301,206,40,502,0,0,57,19,38,259,204,0,0,0,0,9,46,0,46,61184
G06000104052002,Alameda County,1,405200,2,"Block Group 2, Census Tract 4052, Alameda County, California",1070,974,383,63,0,495,0,0,33,0,33,96,12,0,0,0,0,37,47,24,23,44653
G06000104052003,Alameda County,1,405200,3,"Block Group 3, Census Tract 4052, Alameda County, California",1267,987,338,52,0,405,0,0,192,18,174,280,50,169,0,0,0,61,0,0,0,89781
G06000104052004,Alameda County,1,405200,4,"Block Group 4, Census Tract 4052, Alameda County, California",1423,1058,561,185,6,117,68,0,121,0,121,365,81,36,12,0,0,175,61,61,0,88379
G06000104053011,Alameda County,1,405301,1,"Block Group 1, Census Tract 4053.01, Alameda County, California",2092,1862,1113,435,0,176,7,0,131,0,131,230,36,0,0,8,0,178,8,0,8,60996
G06000104053012,Alameda County,1,405301,2,"Block Group 2, Census Tract 4053.01, Alameda County, California",927,779,302,322,7,91,0,0,57,0,57,148,101,0,0,0,0,23,24,24,0,64505
G06000104053021,Alameda County,1,405302,1,"Block Group 1, Census Tract 4053.02, Alameda County, California",1244,1088,424,160,7,326,0,34,137,0,137,156,24,27,0,0,0,94,11,0,11,43850
G06000104053022,Alameda County,1,405302,2,"Block Group 2, Census Tract 4053.02, Alameda County, California",1202,991,265,150,9,522,0,0,45,8,37,211,172,30,0,0,0,6,3,3,0,35524
G06000104054011,Alameda County,1,405401,1,"Block Group 1, Census Tract 4054.01, Alameda County, California",1673,1290,536,162,0,517,0,18,57,9,48,383,154,36,0,0,0,153,40,18,22,49118
